PubAddress,Longitude,Latitude,PubName,DayofQuiz,QuizWinnings,QuizEntryCost,EntryCost,QuizStartTime,PubPhoneNumber,PubWebsite,Frequency,SmartphoneQuiz,VerifiedOngoing
"136 Battlefield Road, South Side, Glasgow, Lanarkshire, Scotland, G42 9JT",-4.265378781,55.82652775,Armstrong’s ,Sunday,"£35 bar voucher; also, there is a game of “Play Your Cards Right”",free,free,6:30pm,0141 636 9229,https://www.belhaven.co.uk/pubs/glasgow/armstrongs,Weekly,No,Yes
"720 Pollokshaws Road, Pollokshields, Glasgow, Lanarkshire, Scotland, G41 2AD",-4.269814814,55.83674162,Allison Arms ,Thursday,£50 bar tab for winners,free,free,8:00pm,0141 423 1661,https://www.facebook.com/TheAllisonArmsPub/?locale=en_GB,Weekly,No,Yes
"80 Glassford Street, Merchant City, Glasgow, Lanarkshire, Scotland, G1 1UR",-4.248662751,55.85949466,Bacchus ,Wednesday,1st – £50 bar tab; 2nd – a cocktail tree; 3rd – a round of shots,£2 per head,pay,8:00pm,0141 572 0080,https://www.bacchusglasgow.co/,Weekly,No,No
"91 Candleriggs, Merchant City, Glasgow, Lanarkshire, Scotland, G1 1NP",-4.245501768,55.85875856,Bar 91,Monday, £30 bar tab for winners,free,free,8:00pm,0141 406 4562,https://www.bar91.co.uk/,Weekly,No,No
"360 Great Western Road, Firhill, Glasgow, Lanarkshire, Scotland, G4 9HT",-4.275992701,55.87354445,Bananamoon ,Thursday,£20 bar tab for winners,free,free,7:45pm,0141 237 2526,https://www.bananamoonbar.com/,Weekly,No,Yes
"165 Dumbarton Road, West End, Glasgow, Lanarkshire, Scotland, G11 6AA",-4.300727344,55.87072232,Bag O'Nails,Monday,"1st- £100 bar tab, 2nd- £30 bar tab",free,free,8:30pm,0141 465 9920,https://bag-o-nails.co.uk/,Weekly,No,Yes
"80 Dumbarton Road, Partick West, Glasgow, Lanarkshire, Scotland, G11 6NX",-4.297642738,55.87006923,Bar Gallus ,Wednesday,Case of beer and a cash pot (which rolls over if not won),free,free,9:00pm,0141 334 8012,https://www.bargallusglasgow.co.uk/,Weekly,Yes,Yes
"80 Albion Street, Merchant City, Glasgow, Lanarkshire, Scotland, G1 1NY",-4.24417726,55.85841704,Bar Home,Monday,1st - £50 bar tab for winners; 2nd - £30 bar tab; 3rd - 2 pint pitcher of beer/cocktail. There is also a cash jackpot.,£1 per head,pay,8:00pm,0141 552 1734,https://www.socialpubandkitchen.co.uk/home-glasgow,Weekly,No,Yes
"34 Clarkston Road, South Side, Glasgow, Lanarkshire, Scotland, G44 3QH",-4.262970325,55.81695294,The Beechings,Thursday,"Spirits, wine.  There is also a cash jackpot",free,free,9:00pm,0141 633 3585,https://www.facebook.com/Thebeechings/,Weekly,No,No
"36 Bell Street, Merchant City, Glasgow, Lanarkshire, Scotland, G1 1LG",-4.245111842,55.85811496,Blackfriars of Bell St.,Tuesday,£100 cash for winners,free,free,8:00pm,0141 212 3320,https://www.blackfriarsglasgow.co.uk/,Weekly,No,Yes
"1004 Argyle Street, Anderston, Glasgow, Lanarkshire, Scotland, G3 8LU",-4.280974485,55.86370464,Brass Monkey ,Sunday,1st – £25 voucher; 2nd – bottle of wine,free,free,5:00pm,0141 243 2170,https://www.facebook.com/TheBrassMonkeyGlasgow/?locale=en_GB,Weekly,No,No
"153 North Street, Anderston, Glasgow, Lanarkshire, Scotland, G3 7DA",-4.271347829,55.86426106,Bon Accord ,Wednesday,"Winners – £20 voucher; booby prize – packet of Nobby’s Nuts.  There is also a cash jackpot, which rolls over if not won",free,free,8:15pm,0141 248 4427,https://www.bonaccordpub.com/,Weekly,No,No
"1397 Argyle Street, Yorkhill, Glasgow, Lanarkshire, Scotland, G3 8AN",-4.292067012,55.86836925,BrewDog Kelvingrove,Tuesday,£50 bar tab for winners,free,free,8:00pm,0141 334 7175,https://drink.brewdog.com/uk/brewdog-glasgow,Weekly,No,Yes
"199 Bath Street, Blythswood Hill, Glasgow, Lanarkshire, Scotland, G2 4HU",-4.263107285,55.86462987,Bunker ,Thursday,"£50 jackpot, which rolls up if not won",free,free,8:00pm,0141 229 1427,https://thebunkerbar.com/,Weekly,Yes,Yes
"427 Sauchiehall Street, City Centre, Glasgow, Lanarkshire, Scotland, G2 3LG",-4.269490471,55.86606529,Broadcast,Tuesday,"£75 bar tab for winners, plus other prizes",free,free,8:00pm,0141 332 7304,https://www.broadcastglasgow.com/,Weekly,No,No
"528 Sauchiehall Street, Garnethill, Glasgow, Lanarkshire, Scotland, G2 3LX",-4.270209439,55.86620483,Campus,Monday, £100 bar tab for winners,free,free,8:00pm,0141 332 3994,https://www.barcampus.co.uk/,Weekly,Yes,Yes
"129 Saint George's Road, Woodlands, Glasgow, Lanarkshire, Scotland, G3 6JA",-4.270310274,55.86850303,Camerons ,Thursday,£25 bar tab for winners,free,free,7:30pm,07503 102007,https://proper-pubs.com/our-proper-pubs/camerons-glasgow/,Weekly,No,Yes
"16 Algie Street, Langside, Glasgow, Lanarkshire, Scotland, G41 3DJ",-4.271674686,55.82737895,Church on the Hill,Monday,"1st – £50 bar voucher; 2nd – bottle of house wine; last – mystery booby prize. There is also a cash jackpot, which rolls over if not won.",£1 per head,pay,7:00pm,0141 343 7569,https://churchonthehill.co.uk/,Weekly,Yes,Yes
"183 Baillieston Road, Garrowhill, Glasgow, Lanarkshire, Scotland, G32 0TN",-4.133712115,55.84996966,Clachan  ,Tuesday,£20 cash for winners.  There is also an “Open the Box” jackpot round – prize rolls over if not won – and an extra game for a cashpot,free,free,8:00pm,0141 573 3751,https://www.facebook.com/theclachanbar/?locale=en_GB,Fortnightly,No,No
"18 John Street, City Centre, Glasgow, Lanarkshire, Scotland, G1 1JQ",-4.247766139,55.86022728,Committee Room No 9 ,Wednesday,"£50 bar tab for winners, plus other prizes",free,free,6:00pm,0141 553 2490,https://committeeroom9.co.uk/,Weekly,No,Yes
"1153 Cathcart Road, Cathcart, Glasgow, Lanarkshire, Scotland, G42 9HB",-4.258791192,55.82336949,Clockwork Beer Co ,Thursday,"Various prizes, including a £50 bar voucher",free,free,8:30pm,0141 649 0184,https://www.clockworkglasgow.com/,Weekly,No,Yes
"499 Great Western Road, Hillhead, Glasgow, Lanarkshire, Scotland, G12 8HN",-4.282431372,55.87553423,Coopers ,Sunday,1st – £30 voucher; 2nd – £10 voucher.  There are also spot prizes,free,free,8:00pm,0141 334 0884,https://www.belhaven.co.uk/pubs/glasgow/coopers,Weekly,No,No
"90 Crookston Road, Glasgow, Lanarkshire, Scotland, G52 3",-4.364275996,55.84341249,Crookston Hotel,Monday,£40 voucher for winners.  There is also a game of “Play Your Cards Right” for a cash jackpot.  The jackpot starts at £50 and rolls over if not won,"free for the quiz, £1 per entry for the jackpot",free,7:00pm,0141 882 6142,https://crookstonhotel.com/,Fortnightly,No,Yes
"68 Virginia Street, City Centre, Glasgow, Lanarkshire, Scotland, G1 1TX",-4.249806713,55.8591935,Delmonicas ,Thursday,£50 cash for winners.  There is also a cash prize for getting every answer correct – this rolls over if not won,free,free,9:00pm,0141 559 6594,https://delmonicas.co.uk/,Weekly,No,Yes
"260 Byres Road, Hillhead, Glasgow, Lanarkshire, Scotland, G12 8SH",-4.293248609,55.87550933,Curlers Rest ,Tuesday,Winners receive cash from entry fees,£1 per head,pay,7:00pm,0141 341 0737,https://www.nicholsonspubs.co.uk/restaurants/scotlandandnorthernireland/thecurlersrestglasgow#/,Weekly,No,No
"427 Dumbarton Road, West End, Glasgow, Lanarkshire, Scotland, G11 6DD",-4.30983891,55.87076421,Deoch an Dorus ,Sunday,"Prizes for 1st, 2nd and 3rd. There is also a cash jackpot, which starts at £50 and increases by £10 each week it is not won",free,free,6:00pm,0141 357 2644,https://www.deochandorus.com/,Weekly,No,Yes
"246 Woodlands Road, Hillhead, Glasgow, Lanarkshire, Scotland, G3 6ND",-4.277180333,55.87127677,Dram! ,Wednesday,Cash – rolls up if not won (Minimum £100),free,free,9:30pm,0141 332 1622,https://www.dramglasgow.co.uk/,Weekly,No,Yes
"17 Hope Street, Anderston, Glasgow, Lanarkshire, Scotland, G2 2TG",-4.259546904,55.85859373,Denholms ,Thursday,Round of drinks for winners,free,free,7:30pm,0141 384 6613,https://www.facebook.com/oldcitypubs/?locale=en_GB,Weekly,No,No
"2 Saint George's Road, Garnethill, Glasgow, Lanarkshire, Scotland, G3 6UJ",-4.2708499,55.86668512,Driftwood ,Tuesday,"up to £75 cash prize for winners, 2nd place bottle of vodka",free,free,8:00pm,0141 332 7000,https://www.instagram.com/driftwoodbarglasgow/?hl=en,Weekly,No,Yes
"85 Drygate, City Centre, Glasgow, Lanarkshire, Scotland, G4 0",-4.234527964,55.86115799,Drygate ,Tuesday,1st – £50 Drygate voucher; 2nd – selection of cans,free,free,8:00pm,0141 212 8815,https://www.drygate.com/,Weekly,No,Yes
"155 Queen Street, City Centre, Glasgow, Lanarkshire, Scotland, G1 3BJ",-4.251765532,55.86055495,Drouthy’s ,Sunday,£30 bar tab for winners,free,free,7:00pm,0141 243 2964,https://www.belhaven.co.uk/pubs/glasgow/drouthys,Weekly,No,No
"1534 Pollokshaws Road, Pollokshields, Glasgow, Lanarkshire, Scotland, G43 1RF",-4.295562685,55.82745546,Eala Bhán,Monday,1st – £30 voucher; 2nd – 50% off food at the next week’s quiz; 3rd – free pizza at the next week’s quiz; second last – packet of biscuits,free,free,7:30pm,0141 649 5061,https://ealabhan.co.uk/,Weekly,No,Yes
"160 Woodlands Road, Hillhead, Glasgow, Lanarkshire, Scotland, G3 6LF",-4.275005816,55.86969795,Finsbay Flatiron ,Tuesday,1st – £50 bar tab; 2nd – bottle of wine; 3rd – mystery prize,free,free,9:00pm,0141 332 3399,https://www.finsbayflatiron.com/,Weekly,No,No
"341 Sauchiehall Street, Blythswood Hill, Glasgow, Lanarkshire, Scotland, G2 3HW",-4.265979093,55.86571382,Firewater ,Wednesday,£100 cash for winners,free,free,8:00pm,0141 353 6207,https://www.facebook.com/firewaterglasgowofficial/?locale=en_GB,Weekly,No,No
"1305 Dumbarton Road, Victoria Park, Glasgow, Lanarkshire, Scotland, G14 9UY",-4.341447275,55.87517562,Granny Gibbs ,Sunday,"Various prizes, depending on turnout.?There is also a game of “Play Your Cards Right”",free,free,8:00pm,0141 569 1028,https://www.facebook.com/GrannyGibbsGlasgow/?locale=en_GB,Weekly,No,No
"51 Old Dumbarton Road, West End, Glasgow, Lanarkshire, Scotland, G3 8RF",-4.29259415,55.86719884,Grunting Growler ,Thursday,Case of beer for winners,"quiz booking fee of £5 per team, which is deducted from your tab at the end of the night",pay,7:30pm,0141 248 4551,https://gruntinggrowler.com/,Weekly,No,No
"44 Ashton Lane, Hillhead, Glasgow, Lanarkshire, Scotland, G12 8SJ",-4.293206225,55.87461305,Innis & Gunn Brewery Taproom,Monday,£50 bar tab for winners,free,free,8:00pm,0141 334 6688,https://www.innisandgunn.com/taprooms/glasgow/west-end,Weekly,No,Yes
"445 Great Western Road, Hillhead, Glasgow, Lanarkshire, Scotland, G12 8HH",-4.280621697,55.87495383,Inn Deep ,Sunday,1st – £75 bar tab; 2nd – £25 bar tab,free,free,7:30pm,0141 264 2777,https://www.inndeep.com/,Weekly,No,Yes
"140 Saint Vincent Street, City Centre, Glasgow, Lanarkshire, Scotland, G2 5",-4.258392569,55.86173527,Hope & Vincent,Monday,£50 voucher for winners,free,free,8:00pm,0141 286 6258,https://hopeandvincent.co.uk/,Weekly,Yes,Yes
"24 West Nile Street, City Centre, Glasgow, Lanarkshire, Scotland, G1 2PW",-4.25534866,55.86097004,Innis & Gunn Brewery Taproom City Centre ,Tuesday, £50 bar tab for winners,free,free,8:00pm,0141 899 0035,https://www.innisandgunn.com/taprooms/glasgow/city-centre,Weekly,No,Yes
"2 Camphill Avenue, Langside, Glasgow, Lanarkshire, Scotland, G41 3AY",-4.27346891,55.82845697,Ivory Hotel ,Thursday, Case of beer for winners; there is also a cash jackpot which rolls up if not won,free,free,9:00pm,0141 636 0223,https://oyotheivory.hotelsofglasgow.com/en/,Weekly,No,No
"17 John Street, Merchant City, Glasgow, Lanarkshire, Scotland, G1 1HP",-4.247819867,55.86005252,Katie’s Bar ,Thursday,"Various prizes, including £150 cash for winners","£5 per team, max team size of 5",pay,8:00pm,0141 548 6983,https://katiesbar.co.uk/,Last Week of the Month,No,Yes
"1365 Shettleston Road, Shettleston, Glasgow, Lanarkshire, Scotland, G32 9AT",-4.160224537,55.8514337,The Kirkhouse ,Thursday,Varies from quiz to quiz,free,free,8:30pm,0141 343 9407,https://www.kirkhouseglasgow.co.uk/index,Weekly,No,Yes
"1008 Argyle Street, City Centre, Glasgow, Lanarkshire, Scotland, G3 8LX",-4.281903535,55.86400626,Lebowskis – West ,Wednesday,"£20 food/drink voucher for winners; also, a cash jackpot which increases by £20 each week if not won",free,free,9:00pm,0141 564 7988,https://www.lebowskis.co.uk/,Weekly,No,Yes
"500 Great Western Road, Hillhead, Glasgow, Lanarkshire, Scotland, G12 8HN",-4.282441954,55.87553719,Kitty O’Shea’s,Monday," An air fryer or mystery prize for winners. There is also a jackpot round for a cash prize, which rolls over if not won",free,free,8:00pm,0141 339 9398,https://kitty-osheas.com/west-end/,Weekly,Yes,Yes
"76 Sauchiehall Street, City Centre, Glasgow, Lanarkshire, Scotland, G2 3DE",-4.255651186,55.86457339,Lauders,Sunday,1st – £30 voucher (plus a pineapple as a trophy); 2nd and 3rd – toys and sweets; last – booby prize,free,free,8:00pm,0141 332 9690,https://www.thelaudersglasgow.co.uk/#/ ,Weekly,No,No
"1100 Crow Road, Anniesland, Glasgow, Lanarkshire, Scotland, G13 1JT",-4.320715464,55.89484904,Lock 27 ,Tuesday,1st – meal for 4; 2nd – bottle of house wine; 3rd – 4 bottles of the beer of the week,free,free,7:30pm,0141 954 1144,https://www.lock27glasgow.co.uk/,Weekly,Yes,Yes
"7 Allerdyce Court, Knightswood, Glasgow, Lanarkshire, Scotland, G15 6SA",-4.376029322,55.90271085,Leven Valley ,Wednesday,Food/drink voucher for winners,free.?Maximum team size is 4,free,8:00pm,0141 944 3366,https://www.stonehouserestaurants.co.uk/nationalsearch/scotland-and-northern-ireland/levenvalleyglasgow#/,Last Week of the Month,No,No
"372 Great Western Road, Firhill, Glasgow, Lanarkshire, Scotland, G4 9HT",-4.276206523,55.87361406,Machair ,Sunday,"£25 bar tab for winners; also, there is a spot prize and a cash jackpot (which increases by £5 per week if not won)",free,free,7:30pm,0141 337 3111,https://www.machairbar.com/,Weekly,No,Yes
"16 Newlandsfield Road, South Side, Glasgow, Lanarkshire, Scotland, G43 2XU",-4.288217707,55.82333806,Loks ,Thursday,Meal for 2 for winners.  There are also other opportunities to win cash prizes throughout the night with bingo and “Play Your Cards Right”,free,free,8:00pm,0141 632 5727,https://loksbarandkitchen.co.uk/,Weekly,No,No
"26 Candleriggs, Merchant City, Glasgow, Lanarkshire, Scotland, G1 1LD",-4.245891359,55.85796282,Nonna Said ,Sunday,1st – £50 voucher (plus a pineapple as a trophy); 2nd and 3rd – toys and sweets; last – booby prize,free,free,6:00pm,0141 648 4848,https://nonnasaid.com/,Weekly,No,Yes
"380 Duke Street, East End, Glasgow, Lanarkshire, Scotland, G31 1DN",-4.218432579,55.85841448,Palais ,Thursday,1st – £50 tab; 2nd – £20 tab; 3rd – bottle of wine,free,free,8:00pm,0141 572 7323,https://thepalaisbar.co.uk/,Weekly,No,Yes
"1179 Pollokshaws Road, South Side, Glasgow, Lanarkshire, Scotland, G41 3NG",-4.282671792,55.82993554,Phillies ,Tuesday,"£50 cash, plus other prizes",free,free,8:00pm,0141 616 6555,https://www.philliesbar.co.uk/,Weekly,No,Yes
"Byres Road, Dowanhill, Glasgow, Lanarkshire, Scotland, G12 8UB",-4.2935287,55.87541804,Òran Mór ,Wednesday, £50 voucher for winners; other prizes also available,free,free,8:30pm, 0141 357 6200,https://oran-mor.co.uk/,Weekly,No,No
"22 University Gardens, West End, Glasgow, Lanarkshire, Scotland, G12 8QN",-4.291537611,55.87358334,Queen Margaret Union ,Thursday,Vary week to week,£1 per head,pay,7:00pm,0141 339 9784,https://www.qmunion.org.uk/,Weekly,No,Yes
"1860 Paisley Road West, North Cardonald, Glasgow, Lanarkshire, Scotland, G52 3TN",-4.345184067,55.84558237,Quo Vadis,Monday,£25 voucher for winners,free,free,8:00pm, 0141 883 6538,https://www.belhaven.co.uk/pubs/glasgow/quo-vadis,Weekly,No,No
"304 Duke Street, East End, Glasgow, Lanarkshire, Scotland, G31 1RZ",-4.22345225,55.85826847,Redmond’s ,Wednesday,1st – £50 cash; 2nd – £25 meal voucher,free,free,9:00pm,0141 572 5664,https://www.facebook.com/redmondsofdennistoun/?locale=en_GB,Weekly,No,Yes
"71 Byres Road, Partick West, Glasgow, Lanarkshire, Scotland, G11 5HN",-4.297903583,55.87163559,Rum Bongo ,Tuesday,"£50 cash for winners, with the chance to gamble for a jackpot prize",free,free,7:30pm,07901 019071,https://www.rumbongobar.co.uk/,Weekly,Yes,Yes
"165 Allison Street, South Side, Glasgow, Lanarkshire, Scotland, G42 8RX",-4.263189009,55.83660284,Ryan’s Bar ,Thursday,1st – £40 cash; 2nd – drinks,free,free,8:00pm,0141 237 1120,https://www.facebook.com/people/Ryans-Bar-Glasgow/100093036051411/,Weekly,No,No
